Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Popularidad
Billy Ocean,Latin (Origen: pop),Canción,Caribbean Queen (No More Love On the Run),2010,4JEylZNW8SbO4zUyfVrpb7,7n4OT3zEZaEiyKKd6mFAhi,75
Nicki Minaj,Latin (Origen: pop),Canción,Super Bass,2010,3hlksXnvbKogFdPbpO9vel,7aADdYLiK1z7GlMFr0UIZw,80
David Guetta,Latin (Origen: pop),Canción,Memories (feat. Kid Cudi),2010,7fLzbEOBOae9lUnOwr7Tse,7fHeCs5cgtXYqxBPG1iK1n,82
Joey Montana,Latin (Origen: pop),Canción,La Melodía,2010,2sH1DIngiSA8EQfkcQXpBq,10BqbyvQvltaEwWr9I67l8,66
Pitbull,Latin (Origen: pop),Canción,Guantanamera (She's Hot),2010,7CijDWxEEbKq76O5rpyCEN,0kv3Rm7PODqJBQaVJiezuB,64
David Guetta,Latin (Origen: pop),Canción,Who's That Chick? (feat. Rihanna),2010,7e1h7rqNB0BBC2fUuWEEFe,7fHeCs5cgtXYqxBPG1iK1n,72
INNA,Latin (Origen: pop),Canción,Amazing,2010,52hQY9AntPqOQM46N9BnfC,7mRhzwh8TINisagYjnmIMT,71
USHER,Latin (Origen: pop),Canción,More - RedOne Jimmy Joker Remix,2010,0aBKFfdyOD1Ttvgv0cfjjJ,5GNPZT1Bxq0EP7PQDQmK3U,71
Bruno Mars,Latin (Origen: pop),Canción,Marry You,2010,6SKwQghsR8AISlxhcwyA9R,6J84szYCnMfzEcvIcfWMFL,81
Melendi,Latin (Origen: pop),Canción,Barbie de extrarradio,2010,7bp62Lo0nOBcfB70iUoibE,1O2K1CtGy9oNUPkmOKLnAx,66
IZAL,Latin (Origen: pop),Canción,Eco,2010,4Bk5Q65UbeAShxoQmddBYR,6i0Twqpwao7f4jasg9FQVU,47
Fondo Flamenco,Latin (Origen: pop),Canción,El Misterio,2010,6IbuOIQOkrSQKJAvQo07f3,4HVUiAzlHzt20UHnjzOPq4,49
Lady A,Latin (Origen: pop),Canción,Need You Now,2010,7GAaTpSoTWUTbP2Yxlt4Hd,5RypFF6rN9MUxFe4aAWA28,76
Canelita,Latin (Origen: pop),Canción,Baila Reggaeton,2010,0NDEWNVvRd8V9qVWOgBWHb,5CUsVkmvLwlnf6VTRZvqqH,47
Maroon 5,Latin (Origen: pop),Canción,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",2010,7pYfyrMNPn3wtoCyqcTVoI,1snrPQMoTrBsKl73wzSxbn,82
Camila,Latin (Origen: pop),Canción,De Qué Me Sirve la Vida,2010,3YHGqAHprVEArAxLzaBE6O,0MPMiyavAbARflBlNGjIA6,72
Rihanna,Latin (Origen: pop),Canción,S&M,2010,0C4ejWmOTMv8vuYj85mf8m,7vN82vd1Vq44fjlhjfvHJp,74
Los Rebujitos,Latin (Origen: pop),Canción,Un Bonito Final,2010,1fRstt9Ftedotij9ipkPDR,3qeDf8K4Ymc62Jerpxi4bG,54
The Irrepressibles,Latin (Origen: pop),Canción,In This Shirt,2010,14QX1ckbDIhqetvu5VZ3cP,6AOnHGR6Adnmi4FyR3UK6e,74
INNA,Latin (Origen: pop),Canción,Deja Vu,2010,3V7choSVaP2zUqtIYpfynG,1BykQV2nA2F8zXzsUJ6DQ2,68
Justin Bieber,Latin (Origen: pop),Canción,Somebody To Love,2010,3rLIv187BhjyweFe89SgLn,3BmcYMh0KYsimWL6p2gPa9,75
Shakira,Latin (Origen: pop),Canción,Rabiosa (feat. Pitbull),2010,2Xh7dyCHCErCv3PmdVEGw4,3gR578qnw47M30LVBTjrlW,71
Camila,Latin (Origen: pop),Canción,Bésame,2010,4LjyEL2sAQU7QZPC6GuTf6,0MPMiyavAbARflBlNGjIA6,73
Malú,Latin (Origen: pop),Canción,Blanco y Negro,2010,01GOfcFj720XJOKwnpv6I9,273buPXMrWCNebglkJodUr,50
David Guetta,Latin (Origen: pop),Canción,When Love Takes Over (feat. Kelly Rowland),2010,0GWGZA5mxo9nHuSyrj70uo,7fHeCs5cgtXYqxBPG1iK1n,76
Camila,Latin (Origen: pop),Canción,Aléjate de Mí,2010,15AbuFJdFrbINydSMSqVhV,0MPMiyavAbARflBlNGjIA6,75
Raya Real,Latin (Origen: pop),Canción,Ya es Navidad Popurrí: Ya es Navidad- Zúmbale a la pandereta - Ya vienen los Reyes Magos - Arre Borriquito - Ya es Navidad,2010,58uudyh1lw0OOIFUYH8NRA,2yB2QymBYlen6hYk5ueXFt,51
Rihanna,Latin (Origen: pop),Canción,Only Girl (In The World),2010,0AH6WMe3OlAlUb5miXt2FQ,7vN82vd1Vq44fjlhjfvHJp,75
Chayanne,Latin (Origen: pop),Canción,Me Enamoré de Ti,2010,1sJFu2pvYJhtEOo9oVe1TZ,2Z1OKCVyqJ1lMHTU612E07,68
El Arrebato,Latin (Origen: pop),Canción,Durmiendo en tu ombligo (con Vanesa Martín),2010,1hTBfeQtRdVrPNZp6SXPQ5,62ZMjKsXecAUg1MVZusYMK,57
Train,Latin (Origen: pop),Canción,"Hey, Soul Sister",2010,4HlFJV71xXKIGcU3kRyttv,1CwXS6MAz8Wo7K4TzW9iuR,83
INNA,Latin (Origen: pop),Canción,Hot,2010,7F1lHcpnTycnimQrCxDFI5,1BykQV2nA2F8zXzsUJ6DQ2,73
Jason Derulo,Latin (Origen: pop),Canción,Whatcha Say,2010,7xkQdy0cy5ymoWT7nedvLz,0DEsmIQ5ir7tz52Nkf4i1K,76
Los Rebujitos,Latin (Origen: pop),Canción,Todos Los Besos,2010,0BQXMBMiFDuRgEp73vLNet,3qeDf8K4Ymc62Jerpxi4bG,54
Camila,Latin (Origen: pop),Canción,Mientes,2010,5EhzE6HJaCcLFrf5rPqvpk,0MPMiyavAbARflBlNGjIA6,79
Enrique Iglesias,Latin (Origen: pop),Canción,Cuando Me Enamoro,2010,4PHX6bpHDxiR9RGzAKWcyk,5JNhQFH8HMKQWP4SITzdoc,79
Kesha,Latin (Origen: pop),Canción,TiK ToK,2010,0HPD5WQqrq7wPWR7P7Dw1i,6fpLLJsDSSAlToEDW2jv4F,85
Shakira,Latin (Origen: pop),Canción,Addicted to You,2010,4zy1s9GnxWsNzZp1688euA,3gR578qnw47M30LVBTjrlW,80
Shakira,Latin (Origen: pop),Canción,Loca (feat. El Cata),2010,42k1KeBehAd83lrGt1okiC,3gR578qnw47M30LVBTjrlW,76
Rihanna,Latin (Origen: pop),Canción,Only Girl (In The World),2010,2ENexcMEMsYk0rVJigVD3i,5QG3tjE5L9F6O2vCAPph38,86
Rihanna,Latin (Origen: pop),Canción,S&M,2010,7ySUcLPVX7KudhnmNcgY2D,5QG3tjE5L9F6O2vCAPph38,85
Camila,Latin (Origen: latin pop),Canción,Entre Tus Alas,2010,2WBivCIGbNwTFgnZFCwqKn,0MPMiyavAbARflBlNGjIA6,57
Angel Y Khriz,Latin (Origen: latin pop),Canción,Ayer La Vi,2010,2DcgfpjjP0EDY11XiBKUnX,441w84evLgVKSEgdIw8f3m,55
Shakira,Latin (Origen: latin pop),Canción,Loca (feat. Dizzee Rascal),2010,6YMPu36VGIknb8Ey1ohW3j,3gR578qnw47M30LVBTjrlW,61
La Nueva Mezkla,Latin (Origen: latin pop),Canción,Popurri piru,2010,491ZA9Pq2p60PSCuJwURSg,0P5lhqGJpPsGGo9mJN92oB,36
Juanes,Latin (Origen: latin pop),Canción,Yerbatero,2010,7jUwaYkoy1koPCjXlov21Y,5zl0FmMSVWelddFzNG5fBC,55
Julieta Venegas,Latin (Origen: latin pop),Canción,Bien o Mal,2010,54Mjd3irHbiPNjW2MNgzKV,7rrYlu3nL2ZfW7RR9tSDMO,60
Pepe Aguilar,Latin (Origen: latin pop),Canción,Popurri De Sones Jalicienses,2010,7Ikjsl2JdLYCEHUd51lFYN,15B0y5xXvbvKO6EVuxIQsq,29
La Vida Bohème,Latin (Origen: latin pop),Canción,El Zar,2010,0GpnUYaiXsJMqibEnJndrv,1nR5qTcRHaVi0hfYcTcQ7I,36
Morocco's Band,Latin (Origen: latin pop),Canción,Te amé en mis sueños,2010,5ZQeanLwxkPutvvUaCsj9t,1bRx8BjEdoL0oeJzi4SRQz,33
Enrique Iglesias,Latin (Origen: latin pop),Canción,Ayer,2010,7vPhS66JQeI0grgyByCBCH,5JNhQFH8HMKQWP4SITzdoc,58
Oki y Los Pibes De Oro,Latin (Origen: latin pop),Canción,Popurri de Oki,2010,3ySebjjDcefXuHfHKTjyh6,538vGjWskok8gwUOcJZ6fa,29
Enrique Iglesias,Latin (Origen: latin pop),Canción,No Me Digas Que No,2010,2A2U1QnZHSPriVFOxS6oZM,5JNhQFH8HMKQWP4SITzdoc,67
Mohombi,Latin (Origen: latin pop),Canción,Bumpy Ride,2010,6yPYf2WsJWfbUM6f63MwQq,0TFxOkFYPrhIzzrKv5CWZf,56
Walter Olmos,Latin (Origen: latin pop),Canción,Por lo que yo te quiero,2010,6q8IfvTRGvi2IZUmkavsr9,6x0GbSgMkwKW1rP4x5YWbU,55
Chayanne,Latin (Origen: latin pop),Canción,Si No Estás,2010,1MGQ0s110vTUHTsFsSJXwk,2Z1OKCVyqJ1lMHTU612E07,48
Camila,Latin (Origen: latin pop),Canción,De Mí,2010,1hCswNajdTPRtuggsGtpCX,0MPMiyavAbARflBlNGjIA6,65
Belinda,Latin (Origen: latin pop),Canción,Egoista,2010,5ps9mIL0zlXeBpTbCer5cz,50t7ukoOOT4d6eoH6HZKYG,38
Diego Torres,Latin (Origen: latin pop),Canción,Guapa,2010,1pWrC1eBExAjlLYzy8GWvy,3QWLsjiPkGOFLZ7GEBsNhi,61
"Alex, Jorge Y Lena",Latin (Origen: latin pop),Canción,Estar Contigo,2010,5alzmkzsRYR34iswlNhUcK,0IzAWiOhG3tBQM1dDZ2kxl,55
Miguel Bosé,Latin (Origen: latin pop),Canción,Estuve a punto de...,2010,6DFUgsBxq5K9n8qKc5LJLJ,1gItXC52sSjsyMWRTUCbdV,43
Calle Ciega,Latin (Origen: latin pop),Canción,Oye Niña Bonita,2010,4mTgvSdkzkinxy0JQHpkbM,4uRN9EggRqWGzZFnUjz54u,46
Shakira,Latin (Origen: latin pop),Canción,Rabiosa (feat. El Cata),2010,19t0Z7qsoV6A1CGJVYRnjm,3gR578qnw47M30LVBTjrlW,64
Ricardo Arjona,Latin (Origen: latin pop),Canción,Puente (Caribe),2010,2qcyNGUO5gRalyeA86VP0u,6ILI18PjZWhIi3yEoP3PpJ,51
Dyland & Lenny,Latin (Origen: latin pop),Canción,Quiere Pa' Que Te Quieran,2010,7JXeiPr6I074dcQgTqQVXU,2XpLbDgssTyK3AmeQlfUL3,51
Marc Anthony,Latin (Origen: latin pop),Canción,Y Cómo Es El,2010,3h8KGJn9UFX2cfjN78iMVF,5SGUCNeCuGHbR73Iyh2F7g,62
Shakira,Latin (Origen: latin pop),Canción,Gordita (feat. Residente Calle 13),2010,6fufW0yhOYcNHvAaUwgpS1,3gR578qnw47M30LVBTjrlW,61
Marc Anthony,Latin (Origen: latin pop),Canción,A Quién Quiero Mentirle,2010,6ngLct6z0pCqJcevM11HDH,5SGUCNeCuGHbR73Iyh2F7g,58
Shakira,Latin (Origen: latin pop),Canción,Lo Que Más,2010,6c8ZIkGXlKE5vSzrUbHLDr,3gR578qnw47M30LVBTjrlW,51
Ricardo Arjona,Latin (Origen: latin pop),Canción,Marta,2010,3TOw7eQz7g2Ak2TOMzu3jd,6ILI18PjZWhIi3yEoP3PpJ,58
Tecupae,Latin (Origen: latin pop),Canción,Y Voy a Amarte,2010,1IZocCcHoBAcDutHXPEkKT,7g7pH8sG8UFdV7hxaWJMAy,49
Shakira,Latin (Origen: latin pop),Canción,Sale el Sol,2010,1DJxR9NMQ14fv1WK0pHodt,3gR578qnw47M30LVBTjrlW,61
Shakira,Latin (Origen: latin pop),Canción,Antes de las Seis,2010,5J5uyhoBZxJwmjy2Zg6DgF,3gR578qnw47M30LVBTjrlW,61
Mohombi,Latin (Origen: latin pop),Canción,Coconut Tree,2010,1j7GNdjuK5wfmvxCbVcWMY,0TFxOkFYPrhIzzrKv5CWZf,54
Shakira,Latin (Origen: latin pop),Canción,Waka Waka (Esto Es Africa) - K-Mix,2010,4DRFIoachXrW8YV7Yje0yz,3gR578qnw47M30LVBTjrlW,58
La Húngara,Latin (Origen: latin pop),Canción,A Mallorca,2010,5mWwcHyyfwUkSRoZKRjYcu,3RPzavqMHmSpAP1HU4Kh0R,35
Macaco,Latin (Origen: latin pop),Canción,Seguiremos (feat. Manolo Garcia),2010,31xOFZSgNYfsFuMINHTxVF,5hKd1wp9qEK2kANQvah4QR,37
Carlos Baute,Latin (Origen: latin pop),Canción,Quién te quiere como yo,2010,7kT8GFH03WvZmqsGTa9pho,3uJvUZtp7RsrynInx3q3RZ,62
Decai,Latin (Origen: latin pop),Canción,El Alma En Pie,2010,5B5d0lHXUVYJJjXXJOvgzI,1E50fW6UiQCfJU6N2zyD1m,41
Macaco,Latin (Origen: latin pop),Canción,Puerto Presente (feat. Fito y Fitipaldis),2010,7c5YhnVL2na1tZhwhq3d3B,5hKd1wp9qEK2kANQvah4QR,38
Calibre 50,Latin (Origen: latin pop),Canción,Culiacán Vs. Mazatlán,2010,6TlCQBVenVdJWJknrVeCYr,0Npb5RTXimPOeUQONeuz3A,68
Luis Miguel,Latin (Origen: latin pop),Canción,No Me Puedes Dejar Asi,2010,4NWpfDWcLOKAPUjNoqFIc1,2oHF59HQoCwm67wXS4OzPK,54
Jesse & Joy,Latin (Origen: latin pop),Canción,Chocolate,2010,732VjsqF6mwjL4l7vdlkx1,3o2ISZrrYHFTKUP3DKuvrK,53
Los Tucanes De Tijuana,Latin (Origen: latin pop),Canción,El Centenario,2010,65PXVu64xyXCpKczg4K9Cz,4xxr8BlUMAKDdVRmDIyDjq,63
Ulises Bueno,Latin (Origen: latin pop),Canción,Amada mía,2010,6Yw83UlvRNgQkVgcgoVfAO,5wstPwsG5nAGU7wjpOWHyP,51
Los Buitres De Culiacan Sinaloa,Latin (Origen: latin pop),Canción,Sanguinarios Del M1,2010,4EAhDuoqyRtV4WiuN49OUe,0zoLvMVhdvhHRFSpQpnO8E,68
Rodrigo,Latin (Origen: latin pop),Canción,Me extrañaras,2010,5zZ8Oy2kCaJcFkg8Vtb35B,0wZB11wUoKMA0i9ZipWcVQ,46
Gerardo Ortiz,Latin (Origen: latin pop),Canción,La Ultima Sombra,2010,6Z5k18VPZu4b1IaIQmbecn,7jyBbVcnqfV8vtmyyPJarL,71
Nonpalidece,Latin (Origen: latin pop),Canción,La Flor,2010,2x9kIjm8AejYJCunY9yKOA,20yi48fX2JcQ9JnIlo29bV,55
Diego Torres,Latin (Origen: latin pop),Canción,Mi Corazon Se Fue,2010,1E88SJxVLYXu1VHugFqB4u,3QWLsjiPkGOFLZ7GEBsNhi,44
Ricardo Arjona,Latin (Origen: latin pop),Canción,Usted,2010,4FuMhL7M7Kqdf526MPpraF,6ILI18PjZWhIi3yEoP3PpJ,48
Camila,Latin (Origen: latin pop),Canción,Restos de Abril,2010,7nuvJjaHyyJQKiyCQ9XCPZ,0MPMiyavAbARflBlNGjIA6,45
Marc Anthony,Latin (Origen: latin pop),Canción,Ya Lo Sé Que Tú Te Vas,2010,2pbVPGYrkDwjye0Ji6p7DF,5SGUCNeCuGHbR73Iyh2F7g,38
Shakira,Latin (Origen: latin pop),Canción,Tu Boca,2010,6ja9N12lzBD1TRuQfZb18z,3gR578qnw47M30LVBTjrlW,41
Luis Miguel,Latin (Origen: latin pop),Canción,Decidete,2010,1Bj38BvqH19WTe5AFq3fMJ,2oHF59HQoCwm67wXS4OzPK,55
Ricardo Arjona,Latin (Origen: latin pop),Canción,Vida,2010,2zsy54iGXDG6d1G1hM2UNa,6ILI18PjZWhIi3yEoP3PpJ,43
Luis Miguel,Latin (Origen: latin pop),Canción,Palabra De Honor,2010,4TQ90ljASOU0gnF8T3QKIb,2oHF59HQoCwm67wXS4OzPK,47
La Quinta Estacion,Latin (Origen: latin pop),Canción,Me Muero,2010,0BKcgDA6YWEJSMvhf19ueZ,1QOVPH6w0xGNyZF2KPIzEd,38
Tecupae,Latin (Origen: latin pop),Canción,Sueño Contigo,2010,3ecHlRR3rjvdOzVEyymWJX,7g7pH8sG8UFdV7hxaWJMAy,35
Enrique Iglesias,Latin (Origen: latin pop),Canción,No Me Digas Que No,2010,2MDi2voBc7ppcJSUtMghqW,5JNhQFH8HMKQWP4SITzdoc,38
Dragon & Caballero,Latin (Origen: latin pop),Canción,Dime Si Volverás,2010,7bGpLA0hvOcojfVZfD9jvx,3pdBHYmb4RIIRNS4IWzI7z,45
Fanny Lu,Latin (Origen: latin pop),Canción,Mar De Amor,2010,2jIpTVw07643E6o4MNYV6g,3TqLvZ0wbslp9iEI1yrkh1,36
Camila,Latin (Origen: latin pop),Canción,Me Voy,2010,7iHI6K7jVyjHxRdbdM1NMr,0MPMiyavAbARflBlNGjIA6,45
Chayanne,Latin (Origen: latin pop),Canción,Me Enamoré de Ti - Bachata Version,2010,2WZuXFuwYYQ4kyOerCGsSG,1yaqYlWtlF26KGdroYtfnZ,26
Diego Torres,Latin (Origen: latin pop),Canción,No Alcanzan Las Flores,2010,0xsr84ZgsPPOgARZoAIHVx,3QWLsjiPkGOFLZ7GEBsNhi,43
Camila,Latin (Origen: latin pop),Canción,Dejarte de Amar,2010,2itL5ufxxduT1hUocBvSdJ,0MPMiyavAbARflBlNGjIA6,46
Camila,Latin (Origen: latin pop),Canción,Mientes - (Version Acústica),2010,6rFDuwKiBF1Bx4REUsplt7,7oaQZ49gr32aSpaJ0ZLM7E,17
Damián Córdoba,Latin (Origen: latin pop),Canción,Q' Tal,2010,1PDtrQFf9pseH4J58Rf8iw,6yISxI632Khpi7zWaj91sQ,59
Chayanne,Latin (Origen: latin pop),Canción,Siento,2010,5BHOvdkbRanV1tIWaxKSvR,2Z1OKCVyqJ1lMHTU612E07,38
Shakira,Latin (Origen: latin pop),Canción,Devoción,2010,58haa2vmqz7tCG7FFDrLWZ,3gR578qnw47M30LVBTjrlW,43
ChocQuibTown,Latin (Origen: latin pop),Canción,De Donde Vengo Yo,2010,45u74xsxp52pwKRypyWxUs,3DKX0g1ZBCAnnc05zNxiEN,27
Enrique Iglesias,Latin (Origen: latin pop),Canción,Dile Que,2010,7uSmwldEpCtl9WhFEiH3RG,5JNhQFH8HMKQWP4SITzdoc,42
Ricardo Arjona,Latin (Origen: latin pop),Canción,Qué Voy a Hacer Conmigo,2010,5F0lcomkvDUMXC0MzBbKuf,6ILI18PjZWhIi3yEoP3PpJ,45
Enrique Iglesias,Latin (Origen: latin pop),Canción,Tu Y Yo,2010,7ncRy35NIlwfEyPytMu2DX,5JNhQFH8HMKQWP4SITzdoc,43
Shakira,Latin (Origen: latin pop),Canción,Mariposas,2010,5mqbIuIagl2q2HZqTiLSfS,3gR578qnw47M30LVBTjrlW,43
Julieta Venegas,Latin (Origen: latin pop),Canción,Despedida,2010,1aE6eXDmeZA9XQsQLuXsSE,7rrYlu3nL2ZfW7RR9tSDMO,51
Chayanne,Latin (Origen: latin pop),Canción,Me Pierdo Contigo,2010,2GRVeE4aAV1LNoI1y3Awy4,2Z1OKCVyqJ1lMHTU612E07,40
Nelly Furtado,Latin (Origen: latin pop),Canción,Fotografía - Duet With Juanes,2010,7LDFERi0M8S23zgA5l8JDb,1uH3MnbKQVPFZa0tuzpgoZ,41
Carla Morrison,Latin (Origen: latin pop),Canción,Esta Soledad,2010,3atBihS3yDm2fTduR9AADF,27D8ocwRauxTXCZKIbpZKg,50
Juan Luis Guerra 4.40,Latin (Origen: latin pop),Canción,La Calle,2010,6akA6K3koUfyu1atnByNDr,2LqYd5gIJxEvG5md8kGeyL,39
Felipe Peláez,Latin (Origen: latin pop),Canción,Despues de Ti,2010,0sXoDU0oCReaFD2XqJKVe0,55hnkHvJs1RySORpAAFM2a,48
Chayanne,Latin (Origen: latin pop),Canción,Tu Boca,2010,7nGiBA8aCeMbh4bQun3pFT,2Z1OKCVyqJ1lMHTU612E07,44
El Guincho,Latin (Origen: latin pop),Canción,Bombay,2010,60aWOhenofxdFViDXn3lfp,5GDOwdJ0okcBaqmyPlNSsC,40
Belinda,Latin (Origen: latin pop),Canción,Dopamina,2010,5NpOHO4AtDL0KK2TXzgKbU,50t7ukoOOT4d6eoH6HZKYG,26
Joey Montana,Latin (Origen: latin pop),Canción,Tus Ojos No Me Ven,2010,3AeI1xRkvnylBB94JKuXzt,10BqbyvQvltaEwWr9I67l8,53
Julieta Venegas,Latin (Origen: latin pop),Canción,Amores Platónicos,2010,3dyr9NVX6cZwYelfZLFUYQ,7rrYlu3nL2ZfW7RR9tSDMO,49
Luis Miguel,Latin (Origen: latin pop),Canción,La Chica Del Bikini Azul,2010,3WYggjHWaIjvonYfDBPDV0,2oHF59HQoCwm67wXS4OzPK,54
David Bisbal,Latin (Origen: latin pop),Canción,Latin Love,2010,1rO57hmCfeMsGGhOdgeVjK,3G5a3YahvUN4jbFrg0PBRE,9
